title,price,rating,reviews,coupon,best_seller
Tress Wellness Waxing Kit for Brazilian wax +Wax Warmer +Easy to use +For Sensitive skin,"<span class=""a-offscreen"">$17.95</span>",4.3 out of 5 stars,"28,228 ratings",,
"KoluaWax Premium Waxing Kit for Women - Hot Melt Wax Warmer for Hair Removal, Eyebrow, Bikini, Legs, Face, Brazilian Wax & More - Machine + 4-Pack Hard Wax Beads + Accessories, Black","<span class=""a-offscreen"">$39.99</span>",4.4 out of 5 stars,"29,731 ratings",,
"Wax Warmer Kit, KOTAMU Hair Removal Waxing Kit with 4 Hard Wax Beans Target for Bikini Brazilian Full Body Face Facial Eyebrows Legs Armpit, Painless At Home Wax Kit for Women and Men","<span class=""a-offscreen"">$39.99</span>",4.4 out of 5 stars,"13,630 ratings",,
